x,y
10,0.10699999999999998
11,0.10809999999999997
12,0.124
13,0.13490000000000002
14,0.14849999999999997
15,0.16000000000000003
16,0.17479999999999996
17,0.1855
18,0.2006
19,0.1935
20,0.20920000000000005
21,0.22140000000000004
22,0.22060000000000002
23,0.2279
24,0.23350000000000004
25,0.24419999999999997
26,0.2522
27,0.2548
28,0.26180000000000003
29,0.2792
30,0.28359999999999996
31,0.27859999999999996
32,0.2813
33,0.2811
34,0.29259999999999997
35,0.3042
36,0.30510000000000004
37,0.3103
38,0.31200000000000006
39,0.3184
40,0.3137
41,0.3274
42,0.33089999999999997
43,0.33330000000000004
44,0.3329
45,0.3337
46,0.34099999999999997
47,0.34740000000000004
48,0.3589
49,0.3467
50,0.35209999999999997
51,0.3651
52,0.36360000000000003
53,0.3627
54,0.37029999999999996
55,0.3667
56,0.37539999999999996
57,0.374
58,0.38260000000000005
59,0.3883
60,0.3881
61,0.3941
62,0.39759999999999995
63,0.3951
64,0.38859999999999995
65,0.4052
66,0.40280000000000005
67,0.3974
68,0.4051
69,0.40280000000000005
70,0.4021
71,0.4091
72,0.41900000000000004
73,0.41169999999999995
74,0.4185
75,0.4226
76,0.4171
77,0.4213
78,0.41890000000000005
79,0.43110000000000004
80,0.43600000000000005
81,0.4433
82,0.4306
83,0.4337
84,0.44499999999999995
85,0.4373
86,0.44199999999999995
87,0.44199999999999995
88,0.43999999999999995
89,0.44789999999999996
90,0.4415
91,0.4457
92,0.45089999999999997
93,0.44910000000000005
94,0.45530000000000004
95,0.4678
96,0.4525
97,0.4507
98,0.46319999999999995
99,0.45709999999999995
100,0.471
