x,y
10,0.10860000000000003
11,0.11939999999999995
12,0.13570000000000004
13,0.13560000000000005
14,0.14490000000000003
15,0.14880000000000004
16,0.16820000000000002
17,0.17120000000000002
18,0.1874
19,0.1774
20,0.1926
21,0.20430000000000004
22,0.21760000000000002
23,0.21030000000000004
24,0.22240000000000004
25,0.22760000000000002
26,0.23050000000000004
27,0.22740000000000005
28,0.2359
29,0.25339999999999996
30,0.25549999999999995
31,0.25860000000000005
32,0.2694
33,0.2649
34,0.27180000000000004
35,0.26970000000000005
36,0.2754
37,0.27559999999999996
38,0.2822
39,0.2944
40,0.29669999999999996
41,0.29910000000000003
42,0.29969999999999997
43,0.2966
44,0.30379999999999996
45,0.3066
46,0.3116
47,0.3114
48,0.32320000000000004
49,0.3214
50,0.3237
51,0.3274
52,0.32830000000000004
53,0.3366
54,0.3356
55,0.3385
56,0.33440000000000003
57,0.34709999999999996
58,0.344
59,0.34819999999999995
60,0.355
61,0.3619
62,0.36419999999999997
63,0.37739999999999996
64,0.37229999999999996
65,0.36739999999999995
66,0.37770000000000004
67,0.378
68,0.37549999999999994
69,0.3711
70,0.3798
71,0.3882
72,0.37529999999999997
73,0.37929999999999997
74,0.38959999999999995
75,0.3909
76,0.39349999999999996
77,0.3963
78,0.39959999999999996
79,0.3971
80,0.40269999999999995
81,0.3972
82,0.40249999999999997
83,0.394
84,0.4104
85,0.405
86,0.4202
87,0.42169999999999996
88,0.41100000000000003
89,0.4114
90,0.4063
91,0.41569999999999996
92,0.4162
93,0.42379999999999995
94,0.4144
95,0.4312
96,0.4184
97,0.4275
98,0.42179999999999995
99,0.43079999999999996
100,0.4355
