k,alphaC,alpha,iterations,stepsize,time
50,5.8470310610234894E-5,0.1,3,1,3.543497738
50,5.4781107749895286E-5,0.1,3,2,2.198315508
50,6.797368753385012E-5,0.1,3,3,2.672062608
50,4.936189797059558E-5,0.1,3,4,2.466914665
50,5.572872942424082E-5,0.1,3,5,1.296675242
50,5.3956285140384045E-5,0.1,3,6,2.008785419
50,5.4881124154525363E-5,0.1,3,7,1.806535703
50,5.182579835818256E-5,0.1,3,8,1.458734972
50,4.9570949585536716E-5,0.1,3,9,1.75768679
50,5.766576506389476E-5,0.1,3,10,1.963524888
50,5.2078965876174375E-5,0.1,4,1,3.180539155
50,6.488719120810986E-5,0.1,4,2,1.696122758
50,5.4808745262533545E-5,0.1,4,3,2.061716365
50,5.507522407626692E-5,0.1,4,4,1.427178372
50,5.559863930014713E-5,0.1,4,5,1.836862524
50,6.392907407993924E-5,0.1,4,6,1.654075335
50,6.521826342048876E-5,0.1,4,7,2.768710629
50,6.098349383844039E-5,0.1,4,8,1.790593653
50,6.0406436538021806E-5,0.1,4,9,1.754998285
50,1.1265277862548828E-4,0.1,4,10,0.669154466
50,4.9183336467265704E-5,0.1,5,1,1.813000377
50,5.853325440226418E-5,0.1,5,2,2.044550846
50,7.150380946002361E-5,0.1,5,3,2.490281055
50,4.6792151849747696E-5,0.1,5,4,2.138919286
50,5.127046912764992E-5,0.1,5,5,2.432598651
50,5.5033026154228055E-5,0.1,5,6,2.701162656
50,5.433770583608056E-5,0.1,5,7,2.488956332
50,1.2850159401514005E-4,0.1,5,8,1.474546923
50,6.400111969384237E-5,0.1,5,9,3.417432086
50,5.5059045553207395E-5,0.1,5,10,1.340244189
50,4.843078748625359E-5,0.1,6,1,2.20085769
50,5.108236188156775E-5,0.1,6,2,1.76855409
50,6.389148570213693E-5,0.1,6,3,1.905424245
50,5.872048909197319E-5,0.1,6,4,2.053845243
50,5.3146241542395754E-5,0.1,6,5,3.041796841
50,6.33505339536412E-5,0.1,6,6,2.998523245
50,5.897316088976235E-5,0.1,6,7,2.084746242
50,6.608653406274812E-5,0.1,6,8,1.396112722
50,5.171041383693658E-5,0.1,6,9,3.100062736
50,5.8671226724982255E-5,0.1,6,10,1.645585266
50,6.201163924701409E-5,0.1,7,1,1.695818994
50,5.7108343282777316E-5,0.1,7,2,2.436508223
50,5.720618668454275E-5,0.1,7,3,2.179421749
50,5.8953996655027445E-5,0.1,7,4,2.831959936
50,5.457005891633603E-5,0.1,7,5,2.787873298
50,5.5543060773394096E-5,0.1,7,6,3.072218306
50,6.0630295347112293E-5,0.1,7,7,2.216207235
50,4.9564900548696875E-5,0.1,7,8,2.031918953
50,5.102324966278531E-5,0.1,7,9,2.744339204
50,4.6918141742935396E-5,0.1,7,10,1.466288208
50,5.5565255143557494E-5,0.1,8,1,2.221916555
50,6.39931731423794E-5,0.1,8,2,2.382105328
50,6.199231288951681E-5,0.1,8,3,2.651665353
50,5.420965808974265E-5,0.1,8,4,3.015633179
50,8.222094179562476E-5,0.1,8,5,2.110330919
50,5.568176587544659E-5,0.1,8,6,2.550516458
50,5.320691308825751E-5,0.1,8,7,3.077190301
50,5.781669169664382E-5,0.1,8,8,1.625301285
50,5.171041383693658E-5,0.1,8,9,2.971251189
50,5.1458004389098495E-5,0.1,8,10,2.751858789
50,5.33679740953824E-5,0.1,9,1,1.953209532
50,5.80869920970498E-5,0.1,9,2,2.612561526
50,6.232176905365313E-5,0.1,9,3,2.420777396
50,5.7509514492703E-5,0.1,9,4,2.279432505
50,5.138808862226548E-5,0.1,9,5,2.70833431
50,5.3340927458105074E-5,0.1,9,6,2.702671861
50,6.063976018147392E-5,0.1,9,7,2.877953887
50,5.5072111720774E-5,0.1,9,8,2.046005068
50,4.84886534869831E-5,0.1,9,9,3.460648895
50,5.541631241902915E-5,0.1,9,10,1.835365337
50,5.0312123854225096E-5,0.1,10,1,1.891436981
50,5.4082054402313344E-5,0.1,10,2,2.437743409
50,5.708344471330592E-5,0.1,10,3,2.086655658
50,7.228212371046538E-5,0.1,10,4,1.519965195
50,5.133073583812419E-5,0.1,10,5,2.415827034
50,5.125106867243551E-5,0.1,10,6,2.187070231
50,5.881133924713047E-5,0.1,10,7,3.111697406
50,5.7825716874049254E-5,0.1,10,8,1.703480997
50,4.840654812322979E-5,0.1,10,9,2.508716313
50,5.499646067619324E-5,0.1,10,10,1.335093121
50,5.5805738439970574E-5,0.1,11,1,3.063741459
50,5.3683292555527513E-5,0.1,11,2,2.285758066
50,5.257471190942451E-5,0.1,11,3,2.785526413
