x,y
10,0.10670000000000002
11,0.10870000000000002
12,0.1038
13,0.10729999999999995
14,0.10870000000000002
15,0.10840000000000005
16,0.11280000000000001
17,0.1119
18,0.15990000000000004
19,0.1583
20,0.15610000000000002
21,0.16459999999999997
22,0.1724
23,0.17090000000000005
24,0.16590000000000005
25,0.19299999999999995
26,0.19240000000000002
27,0.19589999999999996
28,0.20109999999999995
29,0.1905
30,0.2025
31,0.2188
32,0.23299999999999998
33,0.2257
34,0.23329999999999995
35,0.2277
36,0.22809999999999997
37,0.2531
38,0.248
39,0.24550000000000005
40,0.2519
41,0.25970000000000004
42,0.2609
43,0.2538
44,0.27780000000000005
45,0.26770000000000005
46,0.2762
47,0.274
48,0.275
49,0.26859999999999995
50,0.28090000000000004
51,0.2895
52,0.28290000000000004
53,0.28500000000000003
54,0.2851
55,0.2865
56,0.3076
57,0.30189999999999995
58,0.29090000000000005
59,0.29610000000000003
60,0.3046
61,0.31089999999999995
62,0.3106
63,0.30589999999999995
64,0.30369999999999997
65,0.31689999999999996
66,0.3103
67,0.3195
68,0.3188
69,0.33199999999999996
70,0.3227
71,0.33240000000000003
72,0.3284
73,0.32730000000000004
74,0.3267
75,0.34040000000000004
76,0.3304
77,0.32989999999999997
78,0.3348
79,0.3479
80,0.33940000000000003
81,0.3399
82,0.33930000000000005
83,0.34730000000000005
84,0.3457
85,0.352
86,0.34199999999999997
87,0.34709999999999996
88,0.3588
89,0.34930000000000005
90,0.34740000000000004
91,0.36229999999999996
92,0.3577
93,0.36319999999999997
94,0.35719999999999996
95,0.35419999999999996
96,0.3579
97,0.3607
98,0.36040000000000005
99,0.37639999999999996
100,0.36639999999999995
101,0.3627
102,0.36529999999999996
103,0.384
104,0.3791
105,0.3798
106,0.36939999999999995
107,0.37729999999999997
108,0.37729999999999997
109,0.382
110,0.37439999999999996
111,0.38480000000000003
112,0.39449999999999996
113,0.38849999999999996
114,0.38439999999999996
115,0.38349999999999995
116,0.3791
117,0.38959999999999995
118,0.38049999999999995
119,0.38680000000000003
120,0.3883
121,0.38749999999999996
122,0.39280000000000004
123,0.39970000000000006
124,0.39849999999999997
125,0.3929
126,0.39449999999999996
127,0.397
128,0.38880000000000003
129,0.38739999999999997
130,0.405
131,0.3909
132,0.40169999999999995
133,0.4031
134,0.3983
135,0.40290000000000004
136,0.40780000000000005
137,0.41369999999999996
138,0.41200000000000003
139,0.3982
140,0.4072
141,0.4112
142,0.40590000000000004
143,0.40980000000000005
144,0.41269999999999996
145,0.4135
146,0.41869999999999996
147,0.4145
148,0.41679999999999995
149,0.41400000000000003
150,0.41259999999999997
